"Age","Hours_per_day","Fav_genre","BPM","Frequency_classical","Frequency_country","Frequency_EDM","Frequency_folk","Frequency_gospel","Frequency_hip_hop","Frequency_jazz","Frequency_K_pop","Frequency_latin","Frequency_lofi","Frequency_metal","Frequency_pop","Frequency_R_and_B","Frequency_rap","Frequency_rock","Frequency_video_game_music","Anxiety","Depression","Insomnia","OCD","Music_effect","Age_Hours_Interaction","BPM_Anxiety","BPM_Depression","BPM_Insomnia","BPM_OCD","FavGenre_Musiceffects","id","Age_Group","Hours_per_day_Group","BPM_Group","Anxiety_Group","Depression_Group","Insomnia_Group","OCD_Group","Normalized_HoursPerDay","Normalized_Anxiety","Normalized_Depression","Normalized_Insomnia","Normalized_OCD"
18.0,5.0,"Rock",120.0,"Rarely","Never","Rarely","Rarely","Never","Rarely","Never","Rarely","Never","Rarely","Sometimes","Very frequently","Rarely","Sometimes","Very frequently","Very frequently",8.0,8.0,8.0,6.0,"Improve",90.0,960.0,960.0,960.0,720.0,"Rock_Improve",172,"18-24","3-5 hours","Moderate","High","High","High","Medium",0.25,0.4,0.4,0.4,0.3
17.0,2.0,"R&B",148.0,"Sometimes","Never","Rarely","Never","Never","Very frequently","Rarely","Rarely","Never","Rarely","Never","Sometimes","Very frequently","Sometimes","Never","Rarely",8.0,6.0,10.0,3.0,"Improve",34.0,1184.0,888.0,1480.0,444.0,"R&B_Improve",173,"Under 18","1-3 hours","Fast","High","Medium","High","Low",0.1,0.4,0.3,0.5,0.15
17.0,3.0,"Pop",120.0,"Rarely","Rarely","Never","Sometimes","Never","Sometimes","Very frequently","Never","Rarely","Never","Sometimes","Very frequently","Very frequently","Very frequently","Very frequently","Never",8.0,10.0,9.0,2.0,"Improve",51.0,960.0,1200.0,1080.0,240.0,"Pop_Improve",174,"Under 18","1-3 hours","Moderate","High","High","High","Low",0.15,0.4,0.5,0.45,0.1
19.0,3.0,"Jazz",118.0,"Rarely","Never","Rarely","Never","Never","Very frequently","Very frequently","Rarely","Sometimes","Very frequently","Never","Sometimes","Sometimes","Sometimes","Rarely","Very frequently",3.0,0.0,0.0,0.0,"Improve",57.0,354.0,0.0,0.0,0.0,"Jazz_Improve",175,"18-24","1-3 hours","Moderate","Low","No","No","No",0.15,0.15,0.0,0.0,0.0
42.0,2.0,"Metal",120.0,"Sometimes","Rarely","Sometimes","Rarely","Never","Sometimes","Never","Never","Never","Never","Very frequently","Sometimes","Sometimes","Sometimes","Very frequently","Rarely",8.0,3.0,6.0,4.0,"Improve",84.0,960.0,360.0,720.0,480.0,"Metal_Improve",177,"35-44","1-3 hours","Moderate","High","Low","Medium","Low",0.1,0.4,0.15,0.3,0.2
40.0,3.0,"Rock",178.0,"Sometimes","Never","Never","Never","Never","Never","Rarely","Never","Never","Rarely","Sometimes","Sometimes","Rarely","Never","Sometimes","Never",0.0,4.0,4.0,0.0,"Improve",120.0,0.0,712.0,712.0,0.0,"Rock_Improve",179,"35-44","1-3 hours","Fast","No","Low","Low","No",0.15,0.0,0.2,0.2,0.0
30.0,1.0,"Rock",129.0,"Rarely","Never","Rarely","Rarely","Never","Rarely","Rarely","Never","Rarely","Rarely","Rarely","Very frequently","Rarely","Rarely","Very frequently","Rarely",4.0,2.0,1.0,3.0,"Improve",30.0,516.0,258.0,129.0,387.0,"Rock_Improve",180,"25-34","1-3 hours","Fast","Low","Low","No","Low",0.05,0.2,0.1,0.05,0.15
25.0,2.0,"EDM",171.0,"Never","Sometimes","Very frequently","Rarely","Never","Never","Never","Never","Never","Never","Rarely","Sometimes","Never","Never","Very frequently","Rarely",10.0,3.0,1.0,4.0,"Improve",50.0,1710.0,513.0,171.0,684.0,"EDM_Improve",181,"25-34","1-3 hours","Fast","High","Low","No","Low",0.1,0.5,0.15,0.05,0.2
24.0,3.0,"Rock",115.0,"Rarely","Never","Rarely","Sometimes","Never","Never","Never","Rarely","Never","Very frequently","Rarely","Sometimes","Never","Never","Very frequently","Sometimes",9.0,6.0,4.0,3.0,"Improve",72.0,1035.0,690.0,460.0,345.0,"Rock_Improve",183,"18-24","1-3 hours","Moderate","High","Medium","Low","Low",0.15,0.45,0.3,0.2,0.15
20.0,3.0,"Rock",136.0,"Never","Very frequently","Never","Never","Never","Never","Never","Never","Never","Never","Very frequently","Very frequently","Never","Sometimes","Very frequently","Rarely",10.0,10.0,7.0,3.0,"Improve",60.0,1360.0,1360.0,952.0,408.0,"Rock_Improve",185,"18-24","1-3 hours","Fast","High","High","Medium","Low",0.15,0.5,0.5,0.35,0.15
18.0,5.0,"Metal",157.0,"Never","Never","Rarely","Rarely","Never","Very frequently","Rarely","Never","Rarely","Rarely","Very frequently","Sometimes","Rarely","Very frequently","Very frequently","Never",7.0,9.0,5.0,0.0,"Improve",90.0,1099.0,1413.0,785.0,0.0,"Metal_Improve",187,"18-24","3-5 hours","Fast","Medium","High","Medium","No",0.25,0.35,0.45,0.25,0.0
16.0,2.5,"Metal",110.0,"Never","Never","Never","Never","Never","Never","Rarely","Never","Never","Rarely","Very frequently","Never","Never","Rarely","Very frequently","Sometimes",5.0,3.0,3.0,1.0,"Improve",40.0,550.0,330.0,330.0,110.0,"Metal_Improve",188,"Under 18","1-3 hours","Moderate","Medium","Low","Low","No",0.125,0.25,0.15,0.15,0.05
18.0,3.0,"Rap",155.0,"Rarely","Never","Never","Sometimes","Never","Very frequently","Sometimes","Never","Sometimes","Sometimes","Never","Very frequently","Rarely","Very frequently","Very frequently","Very frequently",8.0,9.0,0.0,0.0,"Improve",54.0,1240.0,1395.0,0.0,0.0,"Rap_Improve",190,"18-24","1-3 hours","Fast","High","High","No","No",0.15,0.4,0.45,0.0,0.0
18.0,1.0,"Rock",108.0,"Sometimes","Rarely","Never","Sometimes","Never","Sometimes","Never","Never","Never","Never","Sometimes","Sometimes","Rarely","Rarely","Very frequently","Rarely",8.0,9.0,6.0,1.0,"Improve",18.0,864.0,972.0,648.0,108.0,"Rock_Improve",191,"18-24","1-3 hours","Moderate","High","High","Medium","No",0.05,0.4,0.45,0.3,0.05
19.0,6.0,"Rock",52.0,"Never","Never","Rarely","Very frequently","Never","Rarely","Rarely","Never","Very frequently","Rarely","Sometimes","Very frequently","Rarely","Sometimes","Very frequently","Rarely",4.0,2.0,0.0,0.0,"Improve",114.0,208.0,104.0,0.0,0.0,"Rock_Improve",195,"18-24","5+ hours","Slow","Low","Low","No","No",0.3,0.2,0.1,0.0,0.0
25.0,3.0,"Metal",150.0,"Sometimes","Sometimes","Rarely","Rarely","Never","Never","Never","Never","Never","Never","Very frequently","Sometimes","Sometimes","Never","Very frequently","Sometimes",9.0,8.0,6.0,2.0,"Improve",75.0,1350.0,1200.0,900.0,300.0,"Metal_Improve",196,"25-34","1-3 hours","Fast","High","High","Medium","Low",0.15,0.45,0.4,0.3,0.1
15.0,5.0,"Metal",161.0,"Never","Never","Rarely","Never","Never","Never","Never","Never","Never","Never","Very frequently","Rarely","Never","Rarely","Sometimes","Never",6.0,7.0,8.0,2.0,"Improve",75.0,966.0,1127.0,1288.0,322.0,"Metal_Improve",197,"Under 18","3-5 hours","Fast","Medium","Medium","High","Low",0.25,0.3,0.35,0.4,0.1
15.0,4.0,"Rock",105.0,"Never","Never","Rarely","Never","Never","Rarely","Never","Sometimes","Never","Very frequently","Sometimes","Very frequently","Sometimes","Rarely","Very frequently","Never",8.0,6.0,4.0,0.0,"Improve",60.0,840.0,630.0,420.0,0.0,"Rock_Improve",198,"Under 18","3-5 hours","Moderate","High","Medium","Low","No",0.2,0.4,0.3,0.2,0.0
20.0,3.0,"Metal",200.0,"Sometimes","Rarely","Never","Never","Never","Rarely","Sometimes","Never","Never","Rarely","Very frequently","Rarely","Never","Rarely","Very frequently","Sometimes",7.0,4.0,7.0,0.0,"Improve",60.0,1400.0,800.0,1400.0,0.0,"Metal_Improve",199,"18-24","1-3 hours","Very Fast","Medium","Low","Medium","No",0.15,0.35,0.2,0.35,0.0
17.0,6.0,"Classical",120.0,"Very frequently","Rarely","Never","Never","Never","Rarely","Sometimes","Rarely","Never","Sometimes","Never","Very frequently","Never","Never","Never","Rarely",4.0,2.0,0.0,0.0,"Improve",102.0,480.0,240.0,0.0,0.0,"Classical_Improve",200,"Under 18","5+ hours","Moderate","Low","Low","No","No",0.3,0.2,0.1,0.0,0.0
13.0,10.0,"Rap",140.0,"Never","Never","Rarely","Never","Never","Sometimes","Never","Never","Never","Sometimes","Never","Rarely","Rarely","Very frequently","Never","Rarely",7.0,2.0,0.0,8.0,"Improve",130.0,980.0,280.0,0.0,1120.0,"Rap_Improve",201,"Under 18","5+ hours","Fast","Medium","Low","No","High",0.5,0.35,0.1,0.0,0.4
16.0,3.0,"Rock",120.0,"Never","Rarely","Never","Rarely","Never","Never","Never","Never","Sometimes","Never","Rarely","Rarely","Rarely","Rarely","Very frequently","Rarely",9.0,8.0,6.0,2.0,"Improve",48.0,1080.0,960.0,720.0,240.0,"Rock_Improve",202,"Under 18","1-3 hours","Moderate","High","High","Medium","Low",0.15,0.45,0.4,0.3,0.1
16.0,3.0,"EDM",100.0,"Rarely","Never","Very frequently","Never","Never","Very frequently","Sometimes","Very frequently","Never","Rarely","Sometimes","Very frequently","Rarely","Very frequently","Very frequently","Very frequently",4.0,2.0,0.0,0.0,"Improve",48.0,400.0,200.0,0.0,0.0,"EDM_Improve",203,"Under 18","1-3 hours","Moderate","Low","Low","No","No",0.15,0.2,0.1,0.0,0.0
16.0,0.5,"Rock",156.0,"Sometimes","Never","Rarely","Never","Never","Rarely","Rarely","Never","Never","Never","Never","Sometimes","Never","Never","Very frequently","Sometimes",8.0,0.0,0.0,0.0,"Improve",8.0,1248.0,0.0,0.0,0.0,"Rock_Improve",206,"Under 18","0-1 hours","Fast","High","No","No","No",0.025,0.4,0.0,0.0,0.0
23.0,3.0,"Rock",161.0,"Rarely","Never","Sometimes","Sometimes","Never","Rarely","Never","Never","Never","Rarely","Rarely","Sometimes","Never","Never","Very frequently","Sometimes",7.0,6.0,4.0,2.0,"Improve",69.0,1127.0,966.0,644.0,322.0,"Rock_Improve",207,"18-24","1-3 hours","Fast","Medium","Medium","Low","Low",0.15,0.35,0.3,0.2,0.1
19.0,5.0,"K pop",158.0,"Rarely","Sometimes","Sometimes","Never","Never","Rarely","Rarely","Very frequently","Rarely","Never","Never","Very frequently","Very frequently","Rarely","Rarely","Rarely",4.0,2.0,2.0,1.0,"Improve",95.0,632.0,316.0,316.0,158.0,"K pop_Improve",209,"18-24","3-5 hours","Fast","Low","Low","Low","No",0.25,0.2,0.1,0.1,0.05
17.0,3.0,"Pop",120.0,"Sometimes","Sometimes","Sometimes","Rarely","Rarely","Very frequently","Rarely","Very frequently","Never","Very frequently","Never","Very frequently","Very frequently","Very frequently","Very frequently","Rarely",1.0,1.0,1.0,0.0,"Improve",51.0,120.0,120.0,120.0,0.0,"Pop_Improve",210,"Under 18","1-3 hours","Moderate","No","No","No","No",0.15,0.05,0.05,0.05,0.0
59.0,2.0,"Pop",103.0,"Rarely","Never","Very frequently","Rarely","Never","Rarely","Sometimes","Rarely","Rarely","Rarely","Never","Very frequently","Very frequently","Rarely","Sometimes","Never",1.0,1.0,3.0,0.0,"Improve",118.0,103.0,103.0,309.0,0.0,"Pop_Improve",212,"55-64","1-3 hours","Moderate","No","No","Low","No",0.1,0.05,0.05,0.15,0.0
33.0,2.0,"Metal",120.0,"Rarely","Rarely","Never","Rarely","Never","Sometimes","Never","Never","Never","Never","Very frequently","Never","Never","Sometimes","Sometimes","Sometimes",7.0,2.0,3.0,0.0,"Improve",66.0,840.0,240.0,360.0,0.0,"Metal_Improve",213,"25-34","1-3 hours","Moderate","Medium","Low","Low","No",0.1,0.35,0.1,0.15,0.0
17.0,2.0,"Pop",208.0,"Never","Never","Never","Never","Never","Rarely","Never","Rarely","Never","Never","Very frequently","Very frequently","Never","Very frequently","Very frequently","Very frequently",7.0,6.0,3.0,1.0,"Improve",34.0,1456.0,1248.0,624.0,208.0,"Pop_Improve",214,"Under 18","1-3 hours","Very Fast","Medium","Medium","Low","No",0.1,0.35,0.3,0.15,0.05
22.0,3.0,"Rock",90.0,"Never","Very frequently","Rarely","Sometimes","Never","Rarely","Sometimes","Never","Very frequently","Never","Rarely","Sometimes","Very frequently","Sometimes","Very frequently","Never",10.0,10.0,4.0,0.0,"Improve",66.0,900.0,900.0,360.0,0.0,"Rock_Improve",215,"18-24","1-3 hours","Moderate","High","High","Low","No",0.15,0.5,0.5,0.2,0.0
14.0,7.0,"Jazz",110.0,"Rarely","Never","Very frequently","Never","Never","Never","Very frequently","Never","Sometimes","Never","Never","Sometimes","Never","Never","Very frequently","Very frequently",2.0,0.0,0.0,0.0,"Improve",98.0,220.0,0.0,0.0,0.0,"Jazz_Improve",216,"Under 18","5+ hours","Moderate","Low","No","No","No",0.35,0.1,0.0,0.0,0.0
25.0,2.0,"Lofi",91.0,"Sometimes","Rarely","Sometimes","Rarely","Never","Very frequently","Very frequently","Rarely","Sometimes","Very frequently","Never","Sometimes","Rarely","Sometimes","Very frequently","Sometimes",7.0,8.0,6.0,2.0,"Improve",50.0,637.0,728.0,546.0,182.0,"Lofi_Improve",217,"25-34","1-3 hours","Moderate","Medium","High","Medium","Low",0.1,0.35,0.4,0.3,0.1
22.0,2.0,"Pop",72.0,"Rarely","Rarely","Never","Rarely","Rarely","Sometimes","Sometimes","Never","Rarely","Rarely","Never","Very frequently","Very frequently","Sometimes","Sometimes","Rarely",2.0,7.0,1.0,2.0,"Improve",44.0,144.0,504.0,72.0,144.0,"Pop_Improve",218,"18-24","1-3 hours","Moderate","Low","Medium","No","Low",0.1,0.1,0.35,0.05,0.1
21.0,3.0,"Hip hop",85.0,"Never","Never","Rarely","Never","Never","Very frequently","Rarely","Never","Never","Sometimes","Never","Very frequently","Very frequently","Very frequently","Very frequently","Never",8.0,8.0,3.0,3.0,"Improve",63.0,680.0,680.0,255.0,255.0,"Hip hop_Improve",219,"18-24","1-3 hours","Moderate","High","High","Low","Low",0.15,0.4,0.4,0.15,0.15
24.0,1.5,"Video game music",171.0,"Sometimes","Rarely","Very frequently","Rarely","Sometimes","Sometimes","Sometimes","Very frequently","Rarely","Very frequently","Very frequently","Very frequently","Sometimes","Sometimes","Very frequently","Very frequently",3.0,4.0,1.0,1.0,"Improve",36.0,513.0,684.0,171.0,171.0,"Video game music_Improve",220,"18-24","1-3 hours","Fast","Low","Low","No","No",0.075,0.15,0.2,0.05,0.05
33.0,1.0,"Metal",120.0,"Rarely","Sometimes","Sometimes","Never","Never","Sometimes","Never","Never","Rarely","Never","Very frequently","Sometimes","Rarely","Sometimes","Sometimes","Sometimes",5.0,2.0,5.0,1.0,"Improve",33.0,600.0,240.0,600.0,120.0,"Metal_Improve",221,"25-34","1-3 hours","Moderate","Medium","Low","Medium","No",0.05,0.25,0.1,0.25,0.05
21.0,5.0,"Metal",171.0,"Rarely","Never","Sometimes","Never","Never","Very frequently","Sometimes","Never","Never","Sometimes","Very frequently","Rarely","Sometimes","Very frequently","Sometimes","Sometimes",8.0,7.0,7.0,4.0,"Improve",105.0,1368.0,1197.0,1197.0,684.0,"Metal_Improve",222,"18-24","3-5 hours","Fast","High","Medium","Medium","Low",0.25,0.4,0.35,0.35,0.2
23.0,1.0,"Jazz",150.0,"Rarely","Rarely","Very frequently","Never","Rarely","Never","Very frequently","Rarely","Rarely","Never","Sometimes","Rarely","Sometimes","Never","Very frequently","Sometimes",9.0,7.0,2.0,1.0,"Improve",23.0,1350.0,1050.0,300.0,150.0,"Jazz_Improve",223,"18-24","1-3 hours","Fast","High","Medium","Low","No",0.05,0.45,0.35,0.1,0.05
16.0,10.0,"EDM",180.0,"Rarely","Rarely","Very frequently","Sometimes","Never","Rarely","Sometimes","Rarely","Never","Rarely","Rarely","Very frequently","Sometimes","Sometimes","Sometimes","Sometimes",10.0,9.0,3.0,2.0,"Improve",160.0,1800.0,1620.0,540.0,360.0,"EDM_Improve",225,"Under 18","5+ hours","Fast","High","High","Low","Low",0.5,0.5,0.45,0.15,0.1
29.0,1.5,"Rock",108.0,"Rarely","Never","Sometimes","Never","Never","Rarely","Rarely","Never","Never","Never","Rarely","Very frequently","Very frequently","Very frequently","Very frequently","Never",8.0,7.0,1.0,2.0,"Improve",43.5,864.0,756.0,108.0,216.0,"Rock_Improve",226,"25-34","1-3 hours","Moderate","High","Medium","No","Low",0.075,0.4,0.35,0.05,0.1
17.0,2.0,"EDM",128.0,"Never","Rarely","Very frequently","Never","Never","Rarely","Never","Never","Rarely","Rarely","Very frequently","Sometimes","Sometimes","Sometimes","Very frequently","Rarely",0.0,0.0,0.0,0.0,"Improve",34.0,0.0,0.0,0.0,0.0,"EDM_Improve",227,"Under 18","1-3 hours","Fast","No","No","No","No",0.1,0.0,0.0,0.0,0.0
25.0,2.0,"Metal",120.0,"Rarely","Rarely","Rarely","Rarely","Sometimes","Rarely","Sometimes","Never","Rarely","Rarely","Very frequently","Sometimes","Rarely","Rarely","Very frequently","Sometimes",9.0,9.0,7.0,3.0,"Improve",50.0,1080.0,1080.0,840.0,360.0,"Metal_Improve",228,"25-34","1-3 hours","Moderate","High","High","Medium","Low",0.1,0.45,0.45,0.35,0.15
16.0,15.0,"EDM",85.0,"Rarely","Never","Very frequently","Never","Never","Rarely","Rarely","Never","Never","Rarely","Sometimes","Sometimes","Never","Very frequently","Very frequently","Sometimes",8.0,10.0,9.0,2.0,"Improve",240.0,680.0,850.0,765.0,170.0,"EDM_Improve",231,"Under 18","5+ hours","Moderate","High","High","High","Low",0.75,0.4,0.5,0.45,0.1
16.0,6.0,"K pop",169.0,"Rarely","Never","Never","Rarely","Sometimes","Very frequently","Rarely","Very frequently","Very frequently","Very frequently","Never","Sometimes","Very frequently","Very frequently","Rarely","Never",7.0,8.0,7.0,5.0,"Improve",96.0,1183.0,1352.0,1183.0,845.0,"K pop_Improve",232,"Under 18","5+ hours","Fast","Medium","High","Medium","Medium",0.3,0.35,0.4,0.35,0.25
17.0,2.0,"Pop",76.0,"Sometimes","Never","Never","Never","Never","Rarely","Rarely","Never","Never","Rarely","Never","Very frequently","Rarely","Rarely","Never","Rarely",7.0,6.0,0.0,4.0,"Improve",34.0,532.0,456.0,0.0,304.0,"Pop_Improve",233,"Under 18","1-3 hours","Moderate","Medium","Medium","No","Low",0.1,0.35,0.3,0.0,0.2
20.0,0.5,"Metal",150.0,"Sometimes","Rarely","Sometimes","Never","Never","Sometimes","Sometimes","Never","Never","Sometimes","Sometimes","Rarely","Rarely","Rarely","Sometimes","Sometimes",8.0,9.0,6.0,4.0,"Improve",10.0,1200.0,1350.0,900.0,600.0,"Metal_Improve",234,"18-24","0-1 hours","Fast","High","High","Medium","Low",0.025,0.4,0.45,0.3,0.2
22.0,1.0,"Pop",108.0,"Rarely","Rarely","Sometimes","Never","Never","Never","Rarely","Never","Never","Never","Never","Very frequently","Never","Never","Rarely","Rarely",7.0,4.0,0.0,0.0,"Improve",22.0,756.0,432.0,0.0,0.0,"Pop_Improve",236,"18-24","1-3 hours","Moderate","Medium","Low","No","No",0.05,0.35,0.2,0.0,0.0
17.0,3.0,"Metal",104.0,"Never","Rarely","Rarely","Never","Sometimes","Sometimes","Never","Never","Never","Never","Very frequently","Never","Rarely","Sometimes","Very frequently","Never",5.0,6.0,9.0,9.0,"Improve",51.0,520.0,624.0,936.0,936.0,"Metal_Improve",237,"Under 18","1-3 hours","Moderate","Medium","Medium","High","High",0.15,0.25,0.3,0.45,0.45
29.0,2.0,"Metal",120.0,"Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Very frequently","Sometimes","Never","Never","Very frequently","Never",9.0,3.0,7.0,2.0,"Improve",58.0,1080.0,360.0,840.0,240.0,"Metal_Improve",240,"25-34","1-3 hours","Moderate","High","Low","Medium","Low",0.1,0.45,0.15,0.35,0.1
30.0,1.0,"EDM",200.0,"Never","Never","Very frequently","Never","Never","Sometimes","Never","Never","Never","Never","Rarely","Never","Never","Sometimes","Never","Never",4.0,4.0,4.0,0.0,"Improve",30.0,800.0,800.0,800.0,0.0,"EDM_Improve",242,"25-34","1-3 hours","Very Fast","Low","Low","Low","No",0.05,0.2,0.2,0.2,0.0
20.0,4.0,"Hip hop",85.0,"Never","Rarely","Very frequently","Rarely","Never","Very frequently","Never","Never","Never","Never","Never","Sometimes","Sometimes","Very frequently","Sometimes","Never",3.0,2.0,1.0,6.0,"Improve",80.0,255.0,170.0,85.0,510.0,"Hip hop_Improve",243,"18-24","3-5 hours","Moderate","Low","Low","No","Medium",0.2,0.15,0.1,0.05,0.3
16.0,2.0,"Folk",120.0,"Never","Never","Never","Very frequently","Never","Rarely","Never","Never","Never","Never","Sometimes","Very frequently","Never","Rarely","Sometimes","Never",7.0,7.0,4.0,0.0,"Improve",32.0,840.0,840.0,480.0,0.0,"Folk_Improve",245,"Under 18","1-3 hours","Moderate","Medium","Medium","Low","No",0.1,0.35,0.35,0.2,0.0
15.0,6.0,"Rock",97.0,"Rarely","Never","Sometimes","Rarely","Never","Sometimes","Rarely","Never","Never","Rarely","Rarely","Sometimes","Sometimes","Never","Very frequently","Sometimes",8.0,3.0,5.0,2.0,"Improve",90.0,776.0,291.0,485.0,194.0,"Rock_Improve",246,"Under 18","5+ hours","Moderate","High","Low","Medium","Low",0.3,0.4,0.15,0.25,0.1
21.0,1.0,"Rock",147.0,"Rarely","Sometimes","Sometimes","Sometimes","Never","Sometimes","Rarely","Rarely","Rarely","Rarely","Rarely","Very frequently","Never","Sometimes","Very frequently","Very frequently",7.0,9.0,1.0,2.0,"Improve",21.0,1029.0,1323.0,147.0,294.0,"Rock_Improve",248,"18-24","1-3 hours","Fast","Medium","High","No","Low",0.05,0.35,0.45,0.05,0.1
22.0,3.0,"EDM",140.0,"Rarely","Rarely","Very frequently","Sometimes","Rarely","Sometimes","Rarely","Never","Never","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Very frequently","Very frequently",5.0,4.0,2.0,0.0,"Improve",66.0,700.0,560.0,280.0,0.0,"EDM_Improve",249,"18-24","1-3 hours","Fast","Medium","Low","Low","No",0.15,0.25,0.2,0.1,0.0
22.0,2.0,"EDM",120.0,"Rarely","Sometimes","Very frequently","Sometimes","Rarely","Sometimes","Sometimes","Rarely","Rarely","Sometimes","Very frequently","Sometimes","Sometimes","Very frequently","Sometimes","Very frequently",6.0,4.0,0.0,1.0,"Improve",44.0,720.0,480.0,0.0,120.0,"EDM_Improve",250,"18-24","1-3 hours","Moderate","Medium","Low","No","No",0.1,0.3,0.2,0.0,0.05
43.0,1.0,"Pop",134.0,"Sometimes","Never","Never","Sometimes","Rarely","Sometimes","Rarely","Never","Never","Rarely","Never","Very frequently","Rarely","Rarely","Sometimes","Never",3.0,3.0,0.0,0.0,"Improve",43.0,402.0,402.0,0.0,0.0,"Pop_Improve",251,"35-44","1-3 hours","Fast","Low","Low","No","No",0.05,0.15,0.15,0.0,0.0
22.0,4.0,"Rock",126.0,"Rarely","Never","Rarely","Sometimes","Never","Rarely","Rarely","Never","Never","Rarely","Sometimes","Very frequently","Sometimes","Rarely","Very frequently","Rarely",8.0,7.0,4.0,3.0,"Improve",88.0,1008.0,882.0,504.0,378.0,"Rock_Improve",252,"18-24","3-5 hours","Fast","High","Medium","Low","Low",0.2,0.4,0.35,0.2,0.15
32.0,2.0,"Rock",158.0,"Never","Rarely","Sometimes","Rarely","Never","Sometimes","Never","Never","Never","Sometimes","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Never",4.0,7.0,0.0,0.0,"Improve",64.0,632.0,1106.0,0.0,0.0,"Rock_Improve",253,"25-34","1-3 hours","Fast","Low","Medium","No","No",0.1,0.2,0.35,0.0,0.0
32.0,2.0,"Classical",120.0,"Very frequently","Sometimes","Rarely","Very frequently","Sometimes","Sometimes","Sometimes","Rarely","Sometimes","Rarely","Very frequently","Very frequently","Sometimes","Rarely","Very frequently","Very frequently",8.0,7.0,5.0,4.0,"Improve",64.0,960.0,840.0,600.0,480.0,"Classical_Improve",254,"25-34","1-3 hours","Moderate","High","Medium","Medium","Low",0.1,0.4,0.35,0.25,0.2
10.0,2.0,"Pop",112.0,"Very frequently","Never","Rarely","Never","Never","Rarely","Rarely","Very frequently","Never","Rarely","Never","Very frequently","Never","Rarely","Never","Very frequently",8.0,2.0,1.0,1.0,"Improve",20.0,896.0,224.0,112.0,112.0,"Pop_Improve",256,"Under 18","1-3 hours","Moderate","High","Low","No","No",0.1,0.4,0.1,0.05,0.05
16.0,2.0,"Classical",120.0,"Very frequently","Never","Never","Never","Never","Rarely","Sometimes","Never","Never","Never","Never","Rarely","Rarely","Rarely","Sometimes","Rarely",0.0,0.0,1.0,3.0,"Improve",32.0,0.0,0.0,120.0,360.0,"Classical_Improve",257,"Under 18","1-3 hours","Moderate","No","No","No","Low",0.1,0.0,0.0,0.05,0.15
23.0,5.0,"Lofi",120.0,"Very frequently","Rarely","Sometimes","Sometimes","Rarely","Rarely","Sometimes","Rarely","Rarely","Very frequently","Rarely","Very frequently","Very frequently","Rarely","Very frequently","Very frequently",7.0,10.0,10.0,1.0,"Improve",115.0,840.0,1200.0,1200.0,120.0,"Lofi_Improve",258,"18-24","3-5 hours","Moderate","Medium","High","High","No",0.25,0.35,0.5,0.5,0.05
22.0,6.0,"Country",103.0,"Never","Very frequently","Never","Rarely","Never","Sometimes","Never","Never","Rarely","Never","Sometimes","Never","Never","Sometimes","Very frequently","Rarely",5.0,5.0,3.0,3.0,"Improve",132.0,515.0,515.0,309.0,309.0,"Country_Improve",259,"18-24","5+ hours","Moderate","Medium","Medium","Low","Low",0.3,0.25,0.25,0.15,0.15
27.0,3.0,"Metal",200.0,"Rarely","Rarely","Sometimes","Never","Never","Sometimes","Never","Sometimes","Rarely","Sometimes","Very frequently","Sometimes","Rarely","Very frequently","Very frequently","Very frequently",4.0,0.0,0.0,0.0,"Improve",81.0,800.0,0.0,0.0,0.0,"Metal_Improve",260,"25-34","1-3 hours","Very Fast","Low","No","No","No",0.15,0.2,0.0,0.0,0.0
19.0,5.0,"Country",118.0,"Rarely","Very frequently","Never","Very frequently","Sometimes","Rarely","Sometimes","Never","Very frequently","Rarely","Never","Sometimes","Sometimes","Rarely","Sometimes","Never",7.0,6.0,8.0,4.0,"Improve",95.0,826.0,708.0,944.0,472.0,"Country_Improve",261,"18-24","3-5 hours","Moderate","Medium","Medium","High","Low",0.25,0.35,0.3,0.4,0.2
17.0,2.0,"Rock",93.0,"Never","Rarely","Sometimes","Sometimes","Rarely","Rarely","Sometimes","Rarely","Rarely","Rarely","Very frequently","Very frequently","Sometimes","Sometimes","Very frequently","Sometimes",0.0,8.0,0.0,0.0,"Improve",34.0,0.0,744.0,0.0,0.0,"Rock_Improve",262,"Under 18","1-3 hours","Moderate","No","High","No","No",0.1,0.0,0.4,0.0,0.0
24.0,3.0,"Classical",75.0,"Very frequently","Never","Never","Never","Rarely","Rarely","Never","Never","Sometimes","Rarely","Sometimes","Rarely","Never","Rarely","Never","Never",9.0,6.0,1.0,1.0,"Improve",72.0,675.0,450.0,75.0,75.0,"Classical_Improve",263,"18-24","1-3 hours","Moderate","High","Medium","No","No",0.15,0.45,0.3,0.05,0.05
32.0,6.0,"Rock",91.0,"Never","Rarely","Sometimes","Never","Never","Rarely","Rarely","Never","Never","Never","Never","Sometimes","Rarely","Rarely","Very frequently","Rarely",8.0,7.0,0.0,9.0,"Improve",192.0,728.0,637.0,0.0,819.0,"Rock_Improve",264,"25-34","5+ hours","Moderate","High","Medium","No","High",0.3,0.4,0.35,0.0,0.45
